ID: 25	, AMBAS: 0	 ETX: 2	, EMM: 1 
ID: 100	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 60	, AMBAS: 6	 ETX: 0	, EMM: 0 
ID: 24	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 50	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 43	, AMBAS: 4	 ETX: 3	, EMM: 0 
ID: 32	, AMBAS: 4	 ETX: 8	, EMM: 0 
ID: 3	, AMBAS: 6	 ETX: 0	, EMM: 0 
ID: 5	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 15	, AMBAS: 0	 ETX: 1	, EMM: 1 
ID: 75	, AMBAS: 0	 ETX: 1	, EMM: 1 
ID: 16	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 89	, AMBAS: 1	 ETX: 5	, EMM: 1 
ID: 65	, AMBAS: 0	 ETX: 0	, EMM: 1 
ID: 65	, AMBAS: 0	 ETX: 1	, EMM: 1 
ID: 77	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 30	, AMBAS: 6	 ETX: 5	, EMM: 0 
ID: 20	, AMBAS: 2	 ETX: 7	, EMM: 1 
ID: 37	, AMBAS: 6	 ETX: 2	, EMM: 0 
ID: 90	, AMBAS: 1	 ETX: 5	, EMM: 0 
ID: 53	, AMBAS: 4	 ETX: 3	, EMM: 0 
ID: 25	, AMBAS: 1	 ETX: 2	, EMM: 1 
ID: 24	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 100	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 62	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 50	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 28	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 5	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 15	, AMBAS: 1	 ETX: 1	, EMM: 1 
ID: 3	, AMBAS: 7	 ETX: 0	, EMM: 0 
ID: 30	, AMBAS: 7	 ETX: 5	, EMM: 0 
ID: 89	, AMBAS: 2	 ETX: 5	, EMM: 1 
ID: 20	, AMBAS: 3	 ETX: 7	, EMM: 1 
ID: 75	, AMBAS: 1	 ETX: 1	, EMM: 1 
ID: 51	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 77	, AMBAS: 2	 ETX: 0	, EMM: 0 
ID: 90	, AMBAS: 2	 ETX: 5	, EMM: 0 
ID: 16	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 94	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 25	, AMBAS: 2	 ETX: 2	, EMM: 1 
ID: 100	, AMBAS: 0	 ETX: 6	, EMM: 0 
ID: 27	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 15	, AMBAS: 2	 ETX: 1	, EMM: 1 
ID: 53	, AMBAS: 5	 ETX: 3	, EMM: 0 
ID: 62	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 30	, AMBAS: 7	 ETX: 6	, EMM: 0 
ID: 37	, AMBAS: 7	 ETX: 2	, EMM: 0 
ID: 28	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 5	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 31	, AMBAS: 4	 ETX: 1	, EMM: 0 
ID: 16	, AMBAS: 4	 ETX: 0	, EMM: 0 
ID: 20	, AMBAS: 4	 ETX: 7	, EMM: 1 
ID: 90	, AMBAS: 3	 ETX: 5	, EMM: 0 
ID: 51	, AMBAS: 6	 ETX: 2	, EMM: 0 
ID: 3	, AMBAS: 7	 ETX: 1	, EMM: 0 
ID: 37	, AMBAS: 7	 ETX: 3	, EMM: 0 
ID: 94	, AMBAS: 2	 ETX: 3	, EMM: 0 
ID: 27	, AMBAS: 0	 ETX: 6	, EMM: 0 
ID: 75	, AMBAS: 2	 ETX: 1	, EMM: 1 
ID: 50	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 77	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 96	, AMBAS: 8	 ETX: 4	, EMM: 0 
ID: 25	, AMBAS: 3	 ETX: 2	, EMM: 1 
ID: 35	, AMBAS: 5	 ETX: 1	, EMM: 0 
ID: 67	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 100	, AMBAS: 0	 ETX: 7	, EMM: 0 
ID: 89	, AMBAS: 3	 ETX: 5	, EMM: 1 
ID: 62	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 75	, AMBAS: 2	 ETX: 2	, EMM: 1 
ID: 28	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 16	, AMBAS: 5	 ETX: 0	, EMM: 0 
ID: 15	, AMBAS: 3	 ETX: 1	, EMM: 1 
ID: 90	, AMBAS: 4	 ETX: 5	, EMM: 0 
ID: 31	, AMBAS: 5	 ETX: 1	, EMM: 0 
ID: 20	, AMBAS: 5	 ETX: 7	, EMM: 1 
ID: 94	, AMBAS: 3	 ETX: 3	, EMM: 0 
ID: 15	, AMBAS: 3	 ETX: 2	, EMM: 1 
ID: 77	, AMBAS: 4	 ETX: 0	, EMM: 0 
ID: 50	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 23	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 25	, AMBAS: 3	 ETX: 3	, EMM: 1 
ID: 42	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 96	, AMBAS: 9	 ETX: 4	, EMM: 0 
ID: 100	, AMBAS: 0	 ETX: 8	, EMM: 0 
ID: 42	, AMBAS: 1	 ETX: 3	, EMM: 0 
ID: 89	, AMBAS: 4	 ETX: 5	, EMM: 1 
ID: 62	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 28	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 94	, AMBAS: 3	 ETX: 4	, EMM: 0 
ID: 20	, AMBAS: 6	 ETX: 7	, EMM: 1 
ID: 31	, AMBAS: 6	 ETX: 1	, EMM: 0 
ID: 90	, AMBAS: 5	 ETX: 5	, EMM: 0 
ID: 89	, AMBAS: 4	 ETX: 6	, EMM: 1 
ID: 40	, AMBAS: 2	 ETX: 3	, EMM: 0 
ID: 50	, AMBAS: 6	 ETX: 2	, EMM: 0 
ID: 35	, AMBAS: 6	 ETX: 1	, EMM: 0 
ID: 77	, AMBAS: 5	 ETX: 0	, EMM: 0 
ID: 16	, AMBAS: 6	 ETX: 0	, EMM: 0 
ID: 24	, AMBAS: 6	 ETX: 2	, EMM: 0 
ID: 16	, AMBAS: 6	 ETX: 1	, EMM: 0 
ID: 3	, AMBAS: 8	 ETX: 1	, EMM: 0 
ID: 59	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 90	, AMBAS: 6	 ETX: 5	, EMM: 0 
ID: 28	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 31	, AMBAS: 7	 ETX: 1	, EMM: 0 
ID: 42	, AMBAS: 1	 ETX: 4	, EMM: 0 
ID: 20	, AMBAS: 6	 ETX: 8	, EMM: 1 
ID: 100	, AMBAS: 0	 ETX: 9	, EMM: 0 
ID: 35	, AMBAS: 7	 ETX: 1	, EMM: 0 
ID: 63	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 46	, AMBAS: 1	 ETX: 1	, EMM: 0 
ID: 40	, AMBAS: 3	 ETX: 3	, EMM: 0 
ID: 77	, AMBAS: 6	 ETX: 0	, EMM: 0 
ID: 24	, AMBAS: 7	 ETX: 2	, EMM: 0 
ID: 36	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 28	, AMBAS: 6	 ETX: 2	, EMM: 0 
ID: 20	, AMBAS: 7	 ETX: 8	, EMM: 1 
ID: 59	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 3	, AMBAS: 9	 ETX: 1	, EMM: 0 
ID: 3	, AMBAS: 9	 ETX: 2	, EMM: 0 
ID: 3	, AMBAS: 9	 ETX: 3	, EMM: 0 
ID: 22	, AMBAS: 1	 ETX: 1	, EMM: 0 
ID: 90	, AMBAS: 7	 ETX: 5	, EMM: 0 
ID: 40	, AMBAS: 4	 ETX: 3	, EMM: 0 
ID: 35	, AMBAS: 8	 ETX: 1	, EMM: 0 
ID: 77	, AMBAS: 7	 ETX: 0	, EMM: 0 
ID: 30	, AMBAS: 8	 ETX: 6	, EMM: 0 
ID: 19	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 3	, AMBAS: 9	 ETX: 4	, EMM: 0 
ID: 51	, AMBAS: 7	 ETX: 2	, EMM: 0 
ID: 100	, AMBAS: 0	 ETX: 10	, EMM: 0 
ID: 28	, AMBAS: 7	 ETX: 2	, EMM: 0 
ID: 46	, AMBAS: 2	 ETX: 1	, EMM: 0 
ID: 72	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 40	, AMBAS: 5	 ETX: 3	, EMM: 0 
ID: 3	, AMBAS: 9	 ETX: 5	, EMM: 0 
ID: 35	, AMBAS: 9	 ETX: 1	, EMM: 0 
